"","sub","item","cond","seq","start","end","duration_ms","correctresp","subresp","accuracy","task","sound"
"340",5,102,2,52,2841617,2843677,2060,2,2,1,"zString","standard"
"341",5,127,3,53,2878788,2881144,2356,3,3,1,"zString","novel"
"342",5,123,3,54,2945912,2948466,2554,3,3,1,"zString","novel"
"343",5,95,2,55,2965045,2967700,2655,3,3,1,"zString","standard"
"344",5,97,2,56,2993910,2996266,2356,1,1,1,"zString","standard"
"345",5,131,3,57,3056820,3059003,2183,3,3,1,"zString","novel"
"346",5,125,3,58,3068151,3070453,2302,1,1,1,"zString","novel"
"347",5,130,3,59,3121911,3124221,2310,2,2,1,"zString","novel"
"348",5,98,2,60,3131359,3133439,2080,2,2,1,"zString","standard"
"349",5,100,2,61,3186224,3188157,1933,4,4,1,"zString","standard"
"350",5,128,3,62,3213811,3216092,2281,4,4,1,"zString","novel"
"351",5,124,3,63,3247562,3250491,2929,4,4,1,"zString","novel"
"352",5,96,2,64,3271883,3274394,2511,4,3,0,"zString","standard"
"353",5,126,3,65,3309085,3311578,2493,2,2,1,"zString","novel"
"354",5,121,3,66,3327994,3330512,2518,1,1,1,"zString","novel"
"355",5,101,2,67,3336944,3339028,2084,1,1,1,"zString","standard"
"356",5,122,3,68,3346448,3348864,2416,2,2,1,"zString","novel"
"357",5,132,3,69,3357221,3359529,2308,4,4,1,"zString","novel"
"358",5,99,2,70,3385486,3387581,2095,3,3,1,"zString","standard"
"359",5,94,2,71,3403472,3406148,2676,2,2,1,"zString","standard"
"360",5,129,3,72,3416344,3418616,2272,1,2,0,"zString","novel"
"361",6,32,1,1,4190824,4192724,1900,4,4,1,"zString","silence"
"362",6,31,1,2,4224114,4226644,2530,3,3,1,"zString","silence"
"363",6,38,1,3,4233473,4235310,1837,2,2,1,"zString","silence"
"364",6,41,1,4,4241690,4243411,1721,1,1,1,"zString","silence"
"365",6,33,1,5,4255346,4257209,1863,1,1,1,"zString","silence"
"366",6,39,1,6,4274564,4276460,1896,3,3,1,"zString","silence"
"367",6,40,1,7,4302660,4304462,1802,4,4,1,"zString","silence"
"368",6,35,1,8,4311113,4313300,2187,3,3,1,"zString","silence"
"369",6,34,1,9,4319514,4321262,1748,2,2,1,"zString","silence"
"370",6,42,1,10,4342182,4344341,2159,2,2,1,"zString","silence"
"371",6,37,1,11,4375015,4376930,1915,1,1,1,"zString","silence"
"372",6,36,1,12,4388764,4390698,1934,4,4,1,"zString","silence"
"373",6,61,2,13,4405986,4407799,1813,1,1,1,"zString","standard"
"374",6,62,2,14,4413468,4415184,1716,2,2,1,"zString","standard"
"375",6,63,2,15,4420603,4422317,1714,3,3,1,"zString","standard"
"376",6,6,3,16,4432918,4434632,1714,2,2,1,"zString","novel"
"377",6,70,2,17,4439668,4441432,1764,2,2,1,"zString","standard"
"378",6,8,3,18,4446742,4448484,1742,4,4,1,"zString","novel"
"379",6,67,2,19,4532809,4534654,1845,3,3,1,"zString","standard"
"380",6,64,2,20,4550309,4552107,1798,4,4,1,"zString","standard"
"381",6,72,2,21,4571034,4573071,2037,4,4,1,"zString","standard"
"382",6,7,3,22,4582734,4584622,1888,3,3,1,"zString","novel"
