"","task","cond","sub","FFD_M","FFD_SD","freq_M","freq_SD","zipf_M","zipf_SD"
"98","reading",2,44,254,84.4161299986713,70100,135568.232029385,4.76,0.976147343572494
"99","reading",2,45,228,60.8263841013832,42500,91433.6867142808,4.74,0.720465977733317
"100","reading",2,46,236,74.9197666078281,349000,866034.456844915,4.74,1.4463918984181
"101","reading",2,47,263,89.2257363440829,268000,722599.587135552,5.14,1.08099702828611
"102","reading",2,48,182,21.584308025535,48700,104864.977719982,4.61,0.848818479097573
"103","reading",2,49,233,58.5475386819488,47600,102240.832279,4.75,0.805683103433288
"104","reading",2,50,174,59.1480944411854,69900,129002.726836971,4.79,0.969193611880486
"105","reading",2,51,298,110.673473095674,23700,35824.7644735449,4.61,0.695498128724171
"106","reading",2,52,210,62.2102413629362,144000,631953.373793332,4.74,0.750060384042608
"107","reading",2,53,248,84.2588903680829,62900,148454.313268805,4.73,0.825066703324686
"108","reading",2,54,231,80.9942304085737,78000,142051.123409906,4.64,0.996434821220724
"109","reading",3,1,315,183.396065025034,54800,114077.055066521,4.7,0.960778980827537
"110","reading",3,2,305,93.630345179656,18300,31674.7143406462,4.51,0.695242846338325
"111","reading",3,3,252,67.1699833755128,192000,625559.110387374,4.85,1.13380744984911
"112","reading",3,4,246,55.4843685330846,25500,41451.4125660356,4.54,0.826463806976703
"113","reading",3,5,266,103.730051982107,41400,87224.3935064975,4.72,0.753815557505178
"114","reading",3,6,201,99.406048608724,92300,112305.868182685,5.12,0.867121675429694
"115","reading",3,7,259,128.467829954948,24000,38255.3386151855,4.6,0.755583659608032
"116","reading",3,8,266,88.8910023237315,40000,86466.7458628902,4.58,0.843149732009822
"117","reading",3,9,197,63.2283494630706,48900,97163.267059133,4.29,1.14240636714451
"118","reading",3,10,240,64.3678047296495,91000,340075.537179505,4.56,0.849587575014517
"119","reading",3,11,227,77.2494693799286,52200,96691.4568382336,4.79,0.789091894088399
"120","reading",3,12,229,89.2661621916071,85600,150178.939550153,4.92,0.902668520286567
"121","reading",3,13,227,96.3293920807981,45700,98130.8521219189,4.74,0.727514312641899
"122","reading",3,14,233,59.8563851406453,261000,759501.758434152,4.64,1.21302785580026
"123","reading",3,15,206,53.0991872274004,213000,689649.026161284,4.89,0.987381438585493
"124","reading",3,16,250,85.5616121498667,46700,99856.886174217,4.61,0.84590406324271
"125","reading",3,17,235,56.7507079880318,58600,118987.140667837,4.95,0.716585692673985
"126","reading",3,18,220,47.172583473655,57500,122665.306105368,4.7,0.945791230997401
"127","reading",3,19,207,66.1523275084302,27500,33402.8785707202,4.74,0.718249133784245
"128","reading",3,20,272,78.6115442652979,20500,33151.5189664925,4.64,0.571969332874515
"129","reading",3,21,223,45.3278182919839,72100,185976.323832572,4.8,0.707273717248924
"130","reading",3,22,212,57.1992757196902,46200,117613.162162356,4.38,0.955759483592075
"131","reading",3,23,271,89.8767931374058,42800,94995.2721195492,4.76,0.699952849908379
"132","reading",3,24,229,63.8172614356246,62400,115686.164192085,4.88,0.888574917840575
"133","reading",3,25,237,104.028543719965,45100,90457.1037967396,4.7,0.900985662149345
"134","reading",3,26,293,79.331262912942,17400,32787.5403822678,4.49,0.671228459563163
"135","reading",3,27,240,53.0410443048813,246000,793961.977579393,4.87,1.2606283391721
"136","reading",3,28,303,80.4733829782579,24000,39706.5565300496,4.42,0.934430979479627
"137","reading",3,29,236,135.095908197712,35100,89449.1038564422,4.58,0.763517883761428
"138","reading",3,30,248,71.7331311547402,78800,123072.895879295,4.91,0.895335720627508
"139","reading",3,31,306,63.9865350418873,30200,45529.6204281711,4.67,0.775000645161022
"140","reading",3,32,285,129.196528038268,15600,17599.9967202378,4.51,0.717625051322565
"141","reading",3,33,301,95.0096947961794,49400,110422.773089457,4.47,0.894082740784331
"142","reading",3,34,193,49.8022140704185,13600,18149.3418940424,4.48,0.595582642637045
"143","reading",3,35,222,68.8297756185207,77700,124820.31000907,4.92,0.882660452090276
"144","reading",3,36,273,58.7771821615935,61600,139678.737905084,4.61,0.96688232405574
"145","reading",3,37,268,104.808183894462,50500,99372.2062698916,4.83,0.74223075489129
"146","reading",3,38,221,76.1505685527632,241000,725346.875850767,4.67,1.2246113439467
"147","reading",3,39,241,56.731799513354,250000,708489.518178363,5.02,1.0465714002907
"148","reading",3,40,322,149.720596168316,46000,95707.9035687322,4.72,0.714852039750309
"149","reading",3,41,181,50.8097103580277,46000,97210.7844118697,4.78,0.762710650398881
"150","reading",3,42,226,79.6232960950861,59500,126847.316950984,4.89,0.71582782645283
"151","reading",3,43,329,141.451270607661,23000,28322.1848748493,4.7,0.671985485523031
"152","reading",3,44,265,89.1757763538905,136000,595298.203972313,4.76,0.765757171421885
"153","reading",3,45,222,72.6905002865494,55300,135001.472159495,4.73,0.773897892953553
"154","reading",3,46,265,79.6678562549629,60700,126555.092988005,4.7,0.842644646336758
"155","reading",3,47,348,181.837819627983,20700,34124.5926035798,4.65,0.547145668312325
"156","reading",3,48,222,49.7577943164495,54400,92721.5034494362,4.75,0.986254579324271
"157","reading",3,49,275,112.58928019351,60100,116335.465462556,4.75,0.948066587125181
"158","reading",3,50,248,87.6219401497387,18000,39693.7658226933,4.43,0.674864658796345
"159","reading",3,51,330,109.140482533001,201000,637390.476998524,4.91,1.15119211997887
"160","reading",3,52,204,74.6692562939918,16000,27668.6599852394,4.36,0.825835140723425
"161","reading",3,53,282,65.4897632528099,39100,85832.146055757,4.63,0.779962814076409
"162","reading",3,54,299,100.717426496113,87800,106654.520527163,5.14,0.825569322275454
